Neighborhood,Year Built,Formatted SalePrice
NAmes,1960,"$215,000"
NAmes,1961,"$105,000"
NAmes,1958,"$172,000"
NAmes,1968,"$244,000"
Gilbert,1997,"$189,900"
Gilbert,1998,"$195,500"
StoneBr,2001,"$213,500"
StoneBr,1992,"$191,500"
StoneBr,1995,"$236,500"
Gilbert,1999,"$189,000"
Gilbert,1993,"$175,900"
Gilbert,1992,"$185,000"
Gilbert,1998,"$180,400"
Gilbert,1990,"$171,500"
StoneBr,1985,"$212,000"
StoneBr,2003,"$538,000"
Gilbert,1988,"$164,000"
StoneBr,2010,"$394,432"
Gilbert,1951,"$141,000"
NWAmes,1978,"$210,000"
NWAmes,1977,"$190,000"
NWAmes,1974,"$170,000"
Somerst,2000,"$216,000"
NAmes,1970,"$149,000"
NAmes,1971,"$149,900"
NAmes,1968,"$142,000"
NAmes,1970,"$126,000"
NAmes,1971,"$115,000"
NAmes,1999,"$184,000"
BrDale,1971,"$96,000"
BrDale,1971,"$105,500"
BrDale,1971,"$88,000"
NPkVill,1977,"$127,500"
NPkVill,1975,"$149,900"
NPkVill,1975,"$120,000"
NPkVill,1978,"$146,000"
NridgHt,2009,"$376,162"
NridgHt,2007,"$306,000"
NridgHt,2009,"$395,192"
NridgHt,2009,"$290,941"
NridgHt,2005,"$220,000"
NridgHt,2005,"$275,000"
NridgHt,2005,"$259,000"
NridgHt,2004,"$214,000"
NridgHt,2009,"$611,657"
NridgHt,2009,"$224,000"
NridgHt,2003,"$500,000"
NridgHt,2002,"$320,000"
NridgHt,2005,"$319,900"
NridgHt,2006,"$205,000"
NridgHt,2003,"$175,500"
Gilbert,2005,"$199,500"
Blmngtn,2006,"$160,000"
Blmngtn,2004,"$192,000"
Gilbert,2004,"$184,500"
Gilbert,2002,"$216,500"
Gilbert,2004,"$185,088"
Gilbert,2000,"$180,000"
Gilbert,2001,"$222,500"
NoRidge,1999,"$333,168"
NoRidge,1998,"$355,000"
NoRidge,1996,"$260,400"
NoRidge,1994,"$325,000"
NoRidge,1999,"$290,000"
NoRidge,1998,"$221,000"
NoRidge,1995,"$410,000"
Somerst,2005,"$221,500"
Somerst,2009,"$204,500"
Somerst,2009,"$215,200"
Somerst,2008,"$262,500"
Somerst,2004,"$254,900"
Somerst,2005,"$271,500"
SawyerW,2004,"$233,000"
SawyerW,2004,"$181,000"
SawyerW,1994,"$205,000"
SawyerW,1980,"$143,000"
SawyerW,1992,"$189,000"
SawyerW,1979,"$99,500"
SawyerW,1984,"$125,000"
SawyerW,1993,"$194,500"
SawyerW,1984,"$152,000"
SawyerW,1980,"$171,000"
SawyerW,1920,"$67,500"
Sawyer,1978,"$112,000"
Sawyer,1961,"$148,000"
Sawyer,1965,"$138,500"
Sawyer,1967,"$122,000"
Sawyer,1963,"$133,000"
Sawyer,1962,"$127,000"
Sawyer,1974,"$169,000"
NoRidge,1992,"$190,000"
NoRidge,1993,"$362,500"
NoRidge,1992,"$285,000"
Somerst,2004,"$260,000"
Somerst,2004,"$190,000"
Somerst,2004,"$155,000"
Somerst,2004,"$151,000"
Somerst,2004,"$149,500"
Somerst,2005,"$152,000"
Somerst,2009,"$222,000"
Somerst,2000,"$177,500"
Somerst,2000,"$177,000"
Somerst,1999,"$155,000"
Somerst,2003,"$147,110"
Somerst,2010,"$267,916"
Somerst,2000,"$254,000"
Greens,1980,"$155,000"
Greens,1978,"$206,000"
Sawyer,1976,"$130,500"
